idProyecto,mes,src,alt
1,2025-02,/img/placeholders/placeholder1.jpg,Fase inicial de la Plaza de Armas
1,2025-03,/img/placeholders/placeholder2.jpg,Demolición y planificación en la plaza
1,2025-04,/img/placeholders/placeholder3.jpg,Instalación de bancas y luminarias
1,2025-05,/img/placeholders/placeholder1.jpg,Pavimentación en la plaza
1,2025-06,/img/placeholders/placeholder2.jpg,Plantación de árboles y arbustos
1,2025-07,/img/placeholders/placeholder3.jpg,Terminación de áreas verdes
1,2025-08,/img/placeholders/placeholder1.jpg,Entrega de la plaza remodelada

2,2025-05,/img/placeholders/placeholder2.jpg,Licitación del centro comunitario
2,2025-06,/img/placeholders/placeholder3.jpg,Firma de contrato del centro
2,2025-07,/img/placeholders/placeholder1.jpg,Inicio de obras del centro
2,2025-08,/img/placeholders/placeholder2.jpg,Construcción de estructuras básicas

3,2024-09,/img/placeholders/placeholder3.jpg,Limpieza inicial del río
3,2024-10,/img/placeholders/placeholder1.jpg,Retiro de especies invasoras
3,2024-11,/img/placeholders/placeholder2.jpg,Reforestación de áreas degradadas
3,2024-12,/img/placeholders/placeholder3.jpg,Campañas de concientización comunitaria
3,2025-01,/img/placeholders/placeholder1.jpg,Seguimiento y mantenimiento
3,2025-02,/img/placeholders/placeholder2.jpg,Evaluación final y reporte
3,2025-03,/img/placeholders/placeholder3.jpg,Clausura del proyecto
